m,U,num_incident,num_detected
1e-06,1e-06,42808.96471618821,42818.21034154637
1e-06,1.0722672220103232e-06,45870.1429966526,45870.26621682054
1e-06,1.1497569953977357e-06,49179.64792638425,49169.84868011999
1e-06,1.232846739442066e-06,52766.222778251,52772.89979731315
1e-06,1.3219411484660288e-06,56598.80711842203,56513.4962671959
1e-06,1.4174741629268049e-06,60603.20043940886,60612.64417170679
1e-06,1.519911082952933e-06,65008.9086798602,65097.24024562375
1e-06,1.6297508346206435e-06,69811.11895479527,69841.31780102984
1e-06,1.747528400007683e-06,74894.55839784641,74748.36234632155
1e-06,1.873817422860383e-06,80227.2326460593,80142.84998772579
1e-06,2.0092330025650458e-06,86036.3098487408,85974.51681336586
1e-06,2.1544346900318822e-06,92202.36993327721,92226.80399988107
1e-06,2.310129700083158e-06,98904.74501320829,98881.13724363605
1e-06,2.477076355991709e-06,106043.86036683815,105944.62439110297
1e-06,2.656087782946684e-06,113647.62755057173,113664.64903549297
1e-06,2.848035868435805e-06,121934.92052313707,121997.55838850555
1e-06,3.0538555088334123e-06,130693.18844133368,130872.85258386623
1e-06,3.2745491628777315e-06,140133.98603869637,140038.8008092518
1e-06,3.5111917342151275e-06,150379.65208354947,150356.58209938614
1e-06,3.764935806792471e-06,160979.73842477216,161167.21977566677
1e-06,4.037017258596558e-06,172667.1311836496,172896.03851031218
1e-06,4.328761281083061e-06,185286.5888860393,185341.70172198865
1e-06,4.641588833612782e-06,198620.11638703634,198508.5555794161
1e-06,4.977023564332114e-06,212857.41451208395,213148.72049029023
1e-06,5.336699231206313e-06,228420.28202990888,228324.44013900333
1e-06,5.72236765935022e-06,244574.55476016048,245079.63205831288
1e-06,6.1359072734131755e-06,262522.9493402487,262650.58730857185
1e-06,6.579332246575683e-06,281305.82215801446,281368.4000172341
1e-06,7.0548023107186455e-06,301946.87484109163,302112.2745174128
1e-06,7.564633275546291e-06,324033.58267495595,324016.4179185475
1e-06,8.111308307896873e-06,347067.04524583335,347603.22071919503
1e-06,8.697490026177835e-06,371692.6988698764,372301.1566030441
1e-06,9.3260334688322e-06,399536.68333635625,399081.7183394484
1e-06,1e-05,427563.4996251845,427951.688642907
1e-06,1.072267222010323e-05,458759.45543538075,458611.72883275663
1e-06,1.1497569953977357e-05,492327.9547975001,492433.1274755921
1e-06,1.2328467394420658e-05,527208.4895419655,527215.9707543292
1e-06,1.3219411484660286e-05,565427.6544897617,565836.5034853972
